,player_name,prediction
0,A Ashish Reddy,4
1,A Chopra,0
2,A Choudhary,0
3,A Flintoff,0
4,A Kumble,8
5,A Mishra,4
6,A Mithun,0
7,A Mukund,8
8,A Nehra,0
9,A Singh,8
10,A Symonds,5
11,A Uniyal,8
12,A Zampa,8
13,AA Bilakhia,0
14,AA Chavan,8
15,AA Jhunjhunwala,7
16,AA Noffke,8
17,AB Agarkar,7
18,AB Barath,0
19,AB Dinda,8
20,AB McDonald,7
21,AB de Villiers,1
22,AC Blizzard,7
23,AC Gilchrist,3
24,AC Thomas,0
25,AC Voges,7
26,AD Hales,7
27,AD Mascarenhas,0
28,AD Mathews,9
29,AD Nath,8
30,AD Russell,9
31,AF Milne,8
32,AG Murtaza,8
33,AG Paunikar,0
34,AJ Finch,3
35,AJ Tye,0
36,AL Menaria,4
37,AM Nayar,9
38,AM Rahane,2
39,AN Ahmed,0
40,AN Ghosh,8
41,AP Dole,0
42,AP Majumdar,0
43,AP Tare,4
44,AR Patel,9
45,AS Rajpoot,8
46,AS Raut,7
47,AS Yadav,0
48,AT Rayudu,2
49,AUK Pathan,0
50,Abhishek Sharma,0
51,Anirudh Singh,0
52,Ankit Sharma,0
53,Ankit Soni,8
54,Anureet Singh,0
55,Azhar Mahmood,4
56,B Akhil,0
57,B Chipli,4
58,B Kumar,7
59,B Laughlin,8
60,B Lee,7
61,B Sumanth,0
62,BA Bhatt,8
63,BA Stokes,4
64,BAW Mendis,8
65,BB McCullum,2
66,BB Samantray,7
67,BB Sran,8
68,BCJ Cutting,7
69,BE Hendricks,8
70,BJ Haddin,0
71,BJ Hodge,3
72,BJ Rohrer,7
73,BMAJ Mendis,8
74,BR Dunk,0
75,Basil Thampi,0
76,Bipul Sharma,7
77,C Madan,8
78,C Munro,0
79,C Nanda,8
80,C de Grandhomme,7
81,CA Ingram,8
82,CA Lynn,9
83,CA Pujara,4
84,CH Gayle,1
85,CH Morris,4
86,CJ Anderson,9
87,CJ Ferguson,7
88,CJ Jordan,8
89,CJ McKay,8
90,CK Kapugedera,8
91,CK Langeveldt,8
92,CL White,5
93,CM Gautam,7
94,CR Brathwaite,7
95,CR Woakes,0
96,D Kalyankrishna,8
97,D Salunkhe,0
98,D Wiese,7
99,D du Preez,8
100,DA Miller,3
101,DA Warner,1
102,DB Das,4
103,DB Ravi Teja,4
104,DE Bollinger,8
105,DH Yagnik,7
