,player_name,prediction
0,A Ashish Reddy,0
1,A Chandila,3
2,A Choudhary,3
3,A Flintoff,3
4,A Kumble,4
5,A Mishra,1
6,A Mithun,0
7,A Nehra,2
8,A Nel,3
9,A Singh,0
10,A Symonds,4
11,A Uniyal,3
12,A Zampa,0
13,AA Chavan,0
14,AA Jhunjhunwala,3
15,AA Noffke,3
16,AB Agarkar,4
17,AB Dinda,2
18,AB McDonald,0
19,AC Gilchrist,3
20,AC Thomas,0
21,AD Mascarenhas,0
22,AD Mathews,4
23,AD Russell,4
24,AF Milne,3
25,AG Murtaza,0
26,AJ Finch,3
27,AJ Tye,0
28,AL Menaria,3
29,AM Nayar,0
30,AM Rahane,3
31,AM Salvi,3
32,AN Ahmed,0
33,AP Dole,3
34,AR Patel,5
35,AS Rajpoot,0
36,Anand Rajan,3
37,Ankit Sharma,0
38,Ankit Soni,3
39,Anureet Singh,0
40,Avesh Khan,3
41,Azhar Mahmood,4
42,B Akhil,3
43,B Geeves,3
44,B Kumar,6
45,B Laughlin,0
46,B Lee,4
47,B Stanlake,3
48,BA Bhatt,0
49,BA Stokes,0
50,BAW Mendis,0
51,BB Sran,4
52,BCJ Cutting,0
53,BE Hendricks,3
54,BJ Hodge,0
55,BMAJ Mendis,3
56,BW Hilfenhaus,0
57,Basil Thampi,0
58,Bipul Sharma,0
59,C Nanda,3
60,C de Grandhomme,0
61,CH Gayle,4
62,CH Morris,5
63,CJ Anderson,0
64,CJ Jordan,0
65,CJ McKay,3
66,CK Langeveldt,3
67,CL White,3
68,CR Brathwaite,0
69,CR Woakes,0
70,CRD Fernando,0
71,D Kalyankrishna,3
72,D Salunkhe,3
73,D Wiese,0
74,D du Preez,3
75,DAJ Bracewell,3
76,DB Ravi Teja,3
77,DE Bollinger,4
78,DJ Bravo,1
79,DJ Hooda,0
80,DJ Hussey,0
81,DJ Muthuswami,3
82,DJ Thornely,3
83,DJ Willey,3
84,DJG Sammy,0
85,DJM Short,3
86,DL Chahar,0
87,DL Vettori,4
88,DNT Zoysa,3
89,DP Nannes,4
90,DP Vijaykumar,3
91,DR Smith,4
92,DS Kulkarni,2
93,DT Christian,4
94,DW Steyn,2
95,FH Edwards,3
96,GB Hogg,0
97,GD McGrath,0
98,GH Vihari,3
99,GJ Maxwell,0
100,GR Napier,3
101,GS Sandhu,3
102,Gagandeep Singh,3
103,Gurkeerat Singh,3
104,HH Pandya,4
105,HV Patel,4
106,Harbhajan Singh,1
107,Harmeet Singh,4
108,I Sharma,2
